LSOA,turnoverRate,sigtext
E01028513,52,
E01028514,44,low turnover rate
E01028515,56,
E01028516,51,
E01028517,55,
E01028518,46,low turnover rate
E01028519,52,
E01028520,45,low turnover rate
E01028521,34,
E01028522,62,high turnover rate
E01028523,57,
E01028524,51,
E01028525,47,
E01028526,53,
E01028527,66,high turnover rate
E01028528,71,high turnover rate
E01028529,52,
E01028530,67,high turnover rate
E01028531,55,
E01028532,46,low turnover rate
E01028533,64,high turnover rate
E01028534,50,
E01028535,62,
E01028536,46,
E01028537,46,
E01028538,55,
E01028539,53,
E01028540,43,
E01028541,55,
E01028542,57,
E01028543,32,low turnover rate
E01028544,56,
E01028545,78,high turnover rate
E01028546,46,low turnover rate
E01028547,78,high turnover rate
E01028548,55,
E01028549,42,low turnover rate
E01028550,39,low turnover rate
E01028551,45,
E01028552,51,
E01028553,64,high turnover rate
E01028554,59,
E01028555,76,high turnover rate
E01028556,59,
E01028557,64,high turnover rate
E01028558,77,high turnover rate
E01028559,65,high turnover rate
E01028560,61,
E01028561,65,
E01028562,49,
E01028563,82,
E01028565,100,
E01028567,48,
E01028568,49,
E01028569,46,low turnover rate
E01028570,59,
E01028571,44,
E01028572,77,
E01028573,74,
E01028574,47,
E01028575,33,low turnover rate
E01028576,53,
E01028577,47,
E01028578,55,
E01028579,68,high turnover rate
E01028580,54,
E01028581,67,high turnover rate
E01028582,34,low turnover rate
E01028583,70,
E01028584,47,
E01028585,88,
E01028586,71,high turnover rate
E01028587,58,
E01028588,75,high turnover rate
E01028591,63,
E01028592,58,
E01028594,58,
E01028595,53,
E01028596,38,
E01028597,51,
E01032554,41,
E01032555,42,low turnover rate
E01033282,46,
